source,dialect,text,english_gloss,category,date_collected,dialect_guess
Local Markdown,egba,Bawo,How are you?,Basic Greetings and Social Words,2025-08-09T13:31:06.132370,
Local Markdown,egba,Alafia,Peace/wellness,Basic Greetings and Social Words,2025-08-09T13:31:06.132393,
Local Markdown,egba,E kaaro,Good morning,Basic Greetings and Social Words,2025-08-09T13:31:06.132399,
Local Markdown,egba,E kaasan,Good afternoon,Basic Greetings and Social Words,2025-08-09T13:31:06.132404,
Local Markdown,egba,E kaale,Good evening,Basic Greetings and Social Words,2025-08-09T13:31:06.132408,
Local Markdown,egba,O dabo,Goodbye,Basic Greetings and Social Words,2025-08-09T13:31:06.132412,
Local Markdown,egba,Ese,Thank you,Basic Greetings and Social Words,2025-08-09T13:31:06.132415,
Local Markdown,egba,Pele,Sorry/sympathy,Basic Greetings and Social Words,2025-08-09T13:31:06.132419,
Local Markdown,egba,Binu,Don't be angry,Basic Greetings and Social Words,2025-08-09T13:31:06.132426,
Local Markdown,egba,Kabo,Welcome,Basic Greetings and Social Words,2025-08-09T13:31:06.132430,
Local Markdown,egba,Baba,Father,Family and Relationships,2025-08-09T13:31:06.132434,
Local Markdown,egba,MamaIya,Mother,Family and Relationships,2025-08-09T13:31:06.132438,
Local Markdown,egba,Omo,Child,Family and Relationships,2025-08-09T13:31:06.132441,
Local Markdown,egba,Egbon,Elder sibling,Family and Relationships,2025-08-09T13:31:06.132445,
Local Markdown,egba,Aburo,Younger sibling,Family and Relationships,2025-08-09T13:31:06.132448,
Local Markdown,egba,Oko,Husband,Family and Relationships,2025-08-09T13:31:06.132451,
Local Markdown,egba,Iyawo,Wife,Family and Relationships,2025-08-09T13:31:06.132455,
Local Markdown,egba,Ebi,Family,Family and Relationships,2025-08-09T13:31:06.132458,
Local Markdown,egba,Ore,Friend,Family and Relationships,2025-08-09T13:31:06.132461,
Local Markdown,egba,Ololufe,Lover/beloved,Family and Relationships,2025-08-09T13:31:06.132465,
Local Markdown,egba,Ori,Head,Body Parts,2025-08-09T13:31:06.132469,
Local Markdown,egba,Oju,Eye/face,Body Parts,2025-08-09T13:31:06.132472,
Local Markdown,egba,Imu,Nose,Body Parts,2025-08-09T13:31:06.132476,
Local Markdown,egba,Enu,Mouth,Body Parts,2025-08-09T13:31:06.132479,
Local Markdown,egba,Eti,Ear,Body Parts,2025-08-09T13:31:06.132482,
Local Markdown,egba,Owo,Hand/money,Body Parts,2025-08-09T13:31:06.132486,
Local Markdown,egba,Ese,Foot/leg,Body Parts,2025-08-09T13:31:06.132489,
Local Markdown,egba,Ara,Body,Body Parts,2025-08-09T13:31:06.132495,
Local Markdown,egba,Okan,Heart,Body Parts,2025-08-09T13:31:06.132499,
Local Markdown,egba,Inu,Stomach/inside,Body Parts,2025-08-09T13:31:06.132502,
Local Markdown,egba,Funfun,White,Colors,2025-08-09T13:31:06.132505,
Local Markdown,egba,Dudu,Black,Colors,2025-08-09T13:31:06.132509,
Local Markdown,egba,Pupa,Red,Colors,2025-08-09T13:31:06.132512,
